mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,samplingFrequency,bitDepth,gain,channels,mediaDuration,exifData,favorite,mediaComments
86896MD01_016K_M04_multi_20180720_021500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:17:43Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_021500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_021500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:16:32Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_021500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_021500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:21:58Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_021500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_021500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:20:08Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_021500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_023000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:38:00Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_023000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_023000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:36:48Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_023000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_023000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:33:05Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_023000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_024500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:47:06Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_024500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_024500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:47:54Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_024500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_031500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T03:21:42Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_031500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_033000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T03:34:35Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_033000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_033000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T03:35:26Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_033000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_033000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T03:44:33Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_033000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_034500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T03:55:21Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_034500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_040000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T04:10:00Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_040000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_040000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T04:02:43Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_040000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_040000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T04:01:57Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_040000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_043000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T04:38:52Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_043000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180721_123000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-21T12:43:17Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180721\86896MD01_016K_M04_multi_20180721_123000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180721_213000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-21T21:39:32Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180721\86896MD01_016K_M04_multi_20180721_213000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_064500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T06:54:29Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_064500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_074500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T07:56:37Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_074500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_080000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T08:13:11Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_080000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_101500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T10:19:43Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_101500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_110000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T11:09:03Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_110000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_111500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T11:25:36Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_111500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_114500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T11:46:27Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_114500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_120000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T12:02:18Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_120000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_121500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T12:20:28Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_121500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_121500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T12:27:09Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_121500Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180722_123000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-22T12:31:59Z,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180722\86896MD01_016K_M04_multi_20180722_123000Z.aif,FALSE,,audio/aif,16000,16,23.5,,,,,
