mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,samplingFrequency,bitDepth,gain,channels,mediaDuration,exifData,favorite,mediaComments
86896MD01_016K_M04_multi_20180713_104500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-13T10:45:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180713\86896MD01_016K_M04_multi_20180713_104500Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180713_163000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-13T16:30:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180713\86896MD01_016K_M04_multi_20180713_163000Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180713_190000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-13T19:00:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180713\86896MD01_016K_M04_multi_20180713_190000Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180714_100000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-14T10:00:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180714\86896MD01_016K_M04_multi_20180714_100000Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180714_144500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-14T14:45:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180714\86896MD01_016K_M04_multi_20180714_144500Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180714_151500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-14T15:15:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180714\86896MD01_016K_M04_multi_20180714_151500Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180714_171500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-14T17:15:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180714\86896MD01_016K_M04_multi_20180714_171500Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180714_231500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-14T23:15:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180714\86896MD01_016K_M04_multi_20180714_231500Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180715_081500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-15T08:15:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180715\86896MD01_016K_M04_multi_20180715_081500Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180715_083000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-15T08:30:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180715\86896MD01_016K_M04_multi_20180715_083000Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_014500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T01:45:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_014500Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_020000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:00:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_020000Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
86896MD01_016K_M04_multi_20180720_021500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,dutyCycle,2018-07-20T02:15:00+00:00,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_021500Z.aif,FALSE,,audio/aiff,16000,16,23.5,,,,,
