observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,freqLow,freqHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
86896MD01_016K_M04_multi_20180712_121500Z.aif_2607,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_121500Z.aif,,86941.712263,86946.175743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.552487,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_123000Z.aif_2666,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_123000Z.aif,,87464.664256,87469.127736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.655597,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_123000Z.aif_2693,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_123000Z.aif,,87712.139142,87716.196852,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.524503,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_130000Z.aif_2887,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_130000Z.aif,,89217.568263,89222.031743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.544305,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_131500Z.aif_3031,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_131500Z.aif,,90390.379142,90394.436852,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.523122,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_131500Z.aif_3046,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_131500Z.aif,,90545.899971,90551.716021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.503038,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_131500Z.aif_3078,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_131500Z.aif,,90818.680256,90823.143736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.519390,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_134500Z.aif_3196,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_134500Z.aif,,91911.936263,91916.399743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.596697,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_134500Z.aif_3215,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_134500Z.aif,,92069.195978,92075.012028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.509970,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_140000Z.aif_3309,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_140000Z.aif,,92849.763142,92853.820852,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.533459,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_141500Z.aif_3474,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_141500Z.aif,,94342.859145,94346.916855,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.510262,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_143000Z.aif_3521,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_143000Z.aif,,94758.096263,94762.559743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.558475,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_143000Z.aif_3529,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_143000Z.aif,,94817.059978,94822.876028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.597000,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_153000Z.aif_3983,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_153000Z.aif,,98586.115142,98590.172852,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.549293,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_153000Z.aif_3990,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_153000Z.aif,,98628.144256,98632.607736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.577616,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_153000Z.aif_4004,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_153000Z.aif,,98728.488256,98732.951736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.548018,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_153000Z.aif_4011,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_153000Z.aif,,98792.059971,98797.876021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.506743,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_154500Z.aif_4050,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_154500Z.aif,,99095.808260,99100.271740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.598086,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_154500Z.aif_4148,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_154500Z.aif,,99893.168260,99897.631740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.522786,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_160000Z.aif_4154,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_160000Z.aif,,99942.771149,99946.828859,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.523266,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_160000Z.aif_4202,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_160000Z.aif,,100337.536263,100341.999743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.509314,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_161500Z.aif_4292,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_161500Z.aif,,101044.875971,101050.692021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.524396,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_164500Z.aif_4491,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_164500Z.aif,,103461.424263,103465.887743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.556193,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_184500Z.aif_4562,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_184500Z.aif,,110648.715975,110654.532025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.510924,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_191500Z.aif_4577,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_191500Z.aif,,111963.907971,111969.724021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.592542,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_191500Z.aif_4578,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_191500Z.aif,,112218.083971,112223.900021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.525910,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_210000Z.aif_4717,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_210000Z.aif,,118153.579975,118159.396025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.562227,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_174500Z.aif_4872,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_174500Z.aif,,193417.747971,193423.564021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.503538,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_181500Z.aif_4882,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_181500Z.aif,,194715.523978,194721.340028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.515603,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180713_210000Z.aif_4976,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180713_210000Z.aif,,204619.619975,204625.436025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.643994,1-4-f,parm file = FW2O_p25.mat
