id,analysis,scientificName,englishName,start_secs,end_secs,confidence,detected_time,detected_time_end,audio_id,project,recorder,site,latitude,longitude,audio_link,timestamp
5d3225c525429b79553f6bb310,birdnet-lite,Regulus regulus,Goldcrest,219,222,0.9520503,2022-09-22T09:08:49.742Z,2022-09-22T09:12:31Z,5d3225c525429b79553f,proj_sound-of-norway,bugg_RPiID-100000006b720339,TOV-E: Østfold 10618,59.6976029,11.2049245,https://bugg-301712.web.app/download/cfe7c176-b829-4c9a-a1ef-ca30bc7516c2/audio/proj_sound-of-norway/bugg_RPiID-100000006b720339/conf_6f40914/2022-09-22T09_05_10.742Z.mp3,2022-09-22T09:05:10.742Z
a48a2c27e41f28e51210ae22c3,birdnet-lite,Turdus iliacus,Redwing,243,261,0.76493216,2022-09-22T07:46:27.537Z,2022-09-22T07:50:48Z,a48a2c27e41f28e51210,proj_sound-of-norway,bugg_RPiID-10000000fbe52d2c,TOV-E: Finnmark 203020,69.5002558,29.5131666,https://bugg-301712.web.app/download/6fcc9769-2f8d-4270-9dfa-9edf40e8b81a/audio/proj_sound-of-norway/bugg_RPiID-10000000fbe52d2c/conf_6f40914/2022-09-22T07_42_24.537Z.mp3,2022-09-22T07:42:24.537Z
45ccbb17ee7436ea2654b74e95,birdnet-lite,Poecile montanus,Willow Tit,210,222,0.99603206,2022-09-22T07:38:26.954Z,2022-09-22T07:42:08Z,45ccbb17ee7436ea2654,proj_sound-of-norway,bugg_RPiID-10000000d97b941d,TOV-E: Tromsø 191405,69.09057056,19.63182586,https://bugg-301712.web.app/download/6b84121d-759f-4647-8143-d698f6b37eba/audio/proj_sound-of-norway/bugg_RPiID-10000000d97b941d/conf_6f40914/2022-09-22T07_34_56.954Z.mp3,2022-09-22T07:34:56.954Z
eca67c1a328f32dc2a89363e5a,birdnet-lite,Tetrao tetrix,Black Grouse,228,231,0.6100968,2022-09-22T07:26:02.936Z,2022-09-22T07:29:53Z,eca67c1a328f32dc2a89,proj_sound-of-norway,bugg_RPiID-10000000fbe52d2c,TOV-E: Finnmark 203020,69.5002558,29.5131666,https://bugg-301712.web.app/download/3eb56c0b-0bdd-4645-9d38-c5f4c3eb79de/audio/proj_sound-of-norway/bugg_RPiID-10000000fbe52d2c/conf_6f40914/2022-09-22T07_22_14.936Z.mp3,2022-09-22T07:22:14.936Z
d1ac046c035016e6ac77479550,birdnet-lite,Porzana porzana,Spotted Crake,246,249,0.7978241,2022-09-22T07:23:25.673Z,2022-09-22T07:27:34Z,d1ac046c035016e6ac77,proj_sound-of-norway,bugg_RPiID-100000006b720339,TOV-E: Østfold 10618,59.6976029,11.2049245,https://bugg-301712.web.app/download/f6e3ebe5-7b81-44ea-a8ab-ee56511cb21e/audio/proj_sound-of-norway/bugg_RPiID-100000006b720339/conf_6f40914/2022-09-22T07_19_19.673Z.mp3,2022-09-22T07:19:19.673Z
9bd13c3be2212b9ef721ce7126,birdnet-lite,Lagopus lagopus,Willow Ptarmigan,27,33,0.9796901,2022-09-22T05:11:39.498Z,2022-09-22T05:12:12Z,9bd13c3be2212b9ef721,proj_sound-of-norway,bugg_RPiID-10000000fbe52d2c,TOV-E: Finnmark 203020,69.5002558,29.5131666,https://bugg-301712.web.app/download/08de01e3-b52b-4400-a3be-51ea2520f864/audio/proj_sound-of-norway/bugg_RPiID-10000000fbe52d2c/conf_6f40914/2022-09-22T05_11_12.498Z.mp3,2022-09-22T05:11:12.498Z
a880f6f18a145a05f751bfe9c7,birdnet-lite,Strix aluco,Tawny Owl,0,33,0.9752706,2022-09-22T02:51:32.967Z,2022-09-22T02:52:05Z,a880f6f18a145a05f751,proj_sound-of-norway,bugg_RPiID-10000000a122d275,TOV-E Østfold 10617,59.697562,11.2003972,https://bugg-301712.web.app/download/60333e3f-0776-47cb-a2af-0334214e689b/audio/proj_sound-of-norway/bugg_RPiID-10000000a122d275/conf_6f40914/2022-09-22T02_51_32.967Z.mp3,2022-09-22T02:51:32.967Z
9589b795c26d38d47a8aac1c3f,birdnet-lite,Fulica atra,Eurasian Coot,294,297,0.4648889,2022-09-22T02:51:24.570Z,2022-09-22T02:56:21Z,9589b795c26d38d47a8a,proj_sound-of-norway,bugg_RPiID-10000000a122d275,TOV-E Østfold 10617,59.697562,11.2003972,https://bugg-301712.web.app/download/d86ce0ce-c801-45c8-9a66-1ba409f79e74/audio/proj_sound-of-norway/bugg_RPiID-10000000a122d275/conf_6f40914/2022-09-22T02_46_30.570Z.mp3,2022-09-22T02:46:30.570Z
9589b795c26d38d47a8a3a8371,birdnet-lite,Strix aluco,Tawny Owl,297,300,0.65961957,2022-09-22T02:51:27.570Z,2022-09-22T02:56:27Z,9589b795c26d38d47a8a,proj_sound-of-norway,bugg_RPiID-10000000a122d275,TOV-E Østfold 10617,59.697562,11.2003972,https://bugg-301712.web.app/download/d86ce0ce-c801-45c8-9a66-1ba409f79e74/audio/proj_sound-of-norway/bugg_RPiID-10000000a122d275/conf_6f40914/2022-09-22T02_46_30.570Z.mp3,2022-09-22T02:46:30.570Z
0ce31e46a919eeb42054f744ad,birdnet-lite,Bubo bubo,Eurasian Eagle-Owl,111,114,0.7151365,2022-09-21T17:54:48.428Z,2022-09-21T17:56:42Z,0ce31e46a919eeb42054,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/07fc1c07-05dd-41f5-a80f-281c35eab3b9/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_52_57.428Z.mp3,2022-09-21T17:52:57.428Z
0ce31e46a919eeb420542203df,birdnet-lite,Strix uralensis,Ural Owl,111,114,0.57581633,2022-09-21T17:54:48.428Z,2022-09-21T17:56:42Z,0ce31e46a919eeb42054,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/07fc1c07-05dd-41f5-a80f-281c35eab3b9/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_52_57.428Z.mp3,2022-09-21T17:52:57.428Z
0ce31e46a919eeb42054e5e3ee,birdnet-lite,Fratercula arctica,Atlantic Puffin,219,222,0.465447,2022-09-21T17:56:36.428Z,2022-09-21T18:00:18Z,0ce31e46a919eeb42054,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/07fc1c07-05dd-41f5-a80f-281c35eab3b9/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_52_57.428Z.mp3,2022-09-21T17:52:57.428Z
59d6337115ab1ef51afe2e3e89,birdnet-lite,Zapornia parva,Little Crake,213,237,0.5210741,2022-09-21T17:52:41.139Z,2022-09-21T17:56:38Z,59d6337115ab1ef51afe,proj_sound-of-norway,bugg_RPiID-1000000022fb515e,TOV-E: Bergen 120718,60.0603424,5.6645948,https://bugg-301712.web.app/download/809eab2a-fc91-420d-b4c0-dbb0d51c535d/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-09-21T17_49_08.139Z.mp3,2022-09-21T17:49:08.139Z
689be521756b545adc4eb61928,birdnet-lite,Dendrocopos major,Great Spotted Woodpecker,138,141,0.7563973,2022-09-21T17:40:08.224Z,2022-09-21T17:42:29Z,689be521756b545adc4e,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/dfc5a585-1578-48c7-bacc-8adbe18a56ba/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_37_50.224Z.mp3,2022-09-21T17:37:50.224Z
b2e45f242a59a88f043734a22d,birdnet-lite,Regulus regulus,Goldcrest,81,300,0.7234629,2022-09-21T17:34:08.790Z,2022-09-21T17:39:08Z,b2e45f242a59a88f0437,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/f34bcf0e-fb03-4055-b2ef-3f9999326ebf/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_32_47.790Z.mp3,2022-09-21T17:32:47.790Z
fdf83fe8e044a2381d65124e80,birdnet-lite,Regulus regulus,Goldcrest,84,87,0.58492166,2022-09-21T17:29:09.362Z,2022-09-21T17:30:36Z,fdf83fe8e044a2381d65,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/4ce90d82-6f2b-4ffb-a260-caf397bd8e60/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_27_45.362Z.mp3,2022-09-21T17:27:45.362Z
fdf83fe8e044a2381d6562e38d,birdnet-lite,Certhia familiaris,Eurasian Treecreeper,111,114,0.5132048,2022-09-21T17:29:36.362Z,2022-09-21T17:31:30Z,fdf83fe8e044a2381d65,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/4ce90d82-6f2b-4ffb-a260-caf397bd8e60/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_27_45.362Z.mp3,2022-09-21T17:27:45.362Z
fdf83fe8e044a2381d6592d707,birdnet-lite,Regulus regulus,Goldcrest,114,117,0.8182383,2022-09-21T17:29:39.362Z,2022-09-21T17:31:36Z,fdf83fe8e044a2381d65,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/4ce90d82-6f2b-4ffb-a260-caf397bd8e60/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_27_45.362Z.mp3,2022-09-21T17:27:45.362Z
fdf83fe8e044a2381d6593f3fd,birdnet-lite,Certhia familiaris,Eurasian Treecreeper,123,126,0.642669,2022-09-21T17:29:48.362Z,2022-09-21T17:31:54Z,fdf83fe8e044a2381d65,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/4ce90d82-6f2b-4ffb-a260-caf397bd8e60/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_27_45.362Z.mp3,2022-09-21T17:27:45.362Z
fdf83fe8e044a2381d65d7854c,birdnet-lite,Regulus regulus,Goldcrest,147,288,0.76349014,2022-09-21T17:30:12.362Z,2022-09-21T17:35:00Z,fdf83fe8e044a2381d65,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/4ce90d82-6f2b-4ffb-a260-caf397bd8e60/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_27_45.362Z.mp3,2022-09-21T17:27:45.362Z
0486272426f156ed2f67f9fea3,birdnet-lite,Poecile montanus,Willow Tit,15,66,0.7910267,2022-09-21T17:12:53.296Z,2022-09-21T17:13:59Z,0486272426f156ed2f67,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/440c9dd7-3b40-408f-b273-61ce5ca8f5af/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_12_38.296Z.mp3,2022-09-21T17:12:38.296Z
0486272426f156ed2f674cc6f3,birdnet-lite,Regulus regulus,Goldcrest,186,294,0.9443232,2022-09-21T17:15:44.296Z,2022-09-21T17:20:38Z,0486272426f156ed2f67,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/440c9dd7-3b40-408f-b273-61ce5ca8f5af/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_12_38.296Z.mp3,2022-09-21T17:12:38.296Z
68abb9ec4d94f9de3789164716,birdnet-lite,Regulus regulus,Goldcrest,99,102,0.4660138,2022-09-21T17:10:27.907Z,2022-09-21T17:12:09Z,68abb9ec4d94f9de3789,proj_sound-of-norway,bugg_RPiID-1000000022fb515e,TOV-E: Bergen 120718,60.0603424,5.6645948,https://bugg-301712.web.app/download/bd590d10-3d5e-495a-9666-3b844eac3008/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-09-21T17_08_48.907Z.mp3,2022-09-21T17:08:48.907Z
9d5e742f61f30560c93a8fcce3,birdnet-lite,Regulus regulus,Goldcrest,57,72,0.71141917,2022-09-21T17:08:32.876Z,2022-09-21T17:09:44Z,9d5e742f61f30560c93a,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/0f9eac8c-45cf-4690-ad3b-2eda80bae51b/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_07_35.876Z.mp3,2022-09-21T17:07:35.876Z
9d5e742f61f30560c93a51e850,birdnet-lite,Lophophanes cristatus,Crested Tit,177,198,0.875668,2022-09-21T17:10:32.876Z,2022-09-21T17:13:50Z,9d5e742f61f30560c93a,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/0f9eac8c-45cf-4690-ad3b-2eda80bae51b/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_07_35.876Z.mp3,2022-09-21T17:07:35.876Z
9d5e742f61f30560c93a07b4ac,birdnet-lite,Hirundo rustica,Barn Swallow,198,201,0.6832161,2022-09-21T17:10:53.876Z,2022-09-21T17:14:14Z,9d5e742f61f30560c93a,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/0f9eac8c-45cf-4690-ad3b-2eda80bae51b/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_07_35.876Z.mp3,2022-09-21T17:07:35.876Z
9d5e742f61f30560c93a016fc1,birdnet-lite,Lophophanes cristatus,Crested Tit,249,273,0.51751125,2022-09-21T17:11:44.876Z,2022-09-21T17:16:17Z,9d5e742f61f30560c93a,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/0f9eac8c-45cf-4690-ad3b-2eda80bae51b/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_07_35.876Z.mp3,2022-09-21T17:07:35.876Z
